	k_groups_corrected
RGS4	86k16
SLC2A3	86k16
HSPA6	86k16
MMP1	86k16
SLC2A14	86k16
SERPINB9	86k16
PFKFB3	86k16
TNC	6k101
COL5A2	6k101
LOXL1	6k101
FAP	6k101
MMP2	6k101
BGN	6k101
VCAN	6k101
COL11A1	6k101
EFEMP2	6k101
PDPN	6k101
COL5A1	6k101
MATN3	6k101
SULF1	6k101
COL8A1	6k101
COL1A2	6k101
FBLN2	6k101
FBN1	6k101
AEBP1	6k101
COL8A2	6k101
COL10A1	6k101
COL6A2	6k101
LUM	6k101
SPARC	6k101
COL6A3	6k101
FBLN1	6k101
RCN3	6k101
TRAM2	6k101
MRC2	6k101
CTSB	6k101
VIM	6k101
PDGFRB	6k101
EVC	6k101
CDH11	6k101
SNAI2	6k101
SFRP4	6k101
NKX3-2	6k101
PDGFC	6k101
TWIST1	6k101
FZD2	6k101
WNT2	6k101
THY1	6k101
SPOCK1	6k101
FLNA	6k101
MACF1	6k101
LGALS1	6k101
VEGFC	6k101
ASPN	6k101
SMARCD3	6k101
MITF	6k101
SDC2	6k101
HS3ST3A1	6k101
GPC1	6k101
ITGBL1	6k101
ANXA1	6k101
GAS1	6k101
ADGRA2	6k101
TGFB1I1	6k101
DOK5	6k101
DPYSL3	6k101
CD99	6k101
MYH9	6k101
SGCD	6k101
TENM4	6k101
TRPV2	6k101
GLRB	6k101
SSH1	6k101
ITPKB	6k101
TNFSF4	6k101
SHC1	6k101
EFS	6k101
BNC2	6k101
GPNMB	6k101
WWC2	6k101
PALM2AKAP2	6k101
THBS2	6k101
ANOS1	6k101
MXRA5	6k101
PCOLCE	6k101
LRRC15	6k101
IGFBP6	6k101
PRELP	45k27
OGN	45k27
OMD	45k27
CHST12	45k27
GNAI2	45k27
LIMS2	45k27
GLI1	45k27
THBS4	45k27
CYP1B1	45k27
BMP1	45k27
THBS3	45k27
CILP	45k27
SULT1A1	110k13
SULT1A4	110k13
SULT1A2	110k13
SULT1A3	110k13
GDPD3	110k13
GDPD2	110k13
TIE1	8k101
PDGFRA	8k101
ELN	8k101
ECM2	8k101
OLFML2A	8k101
EGFL6	8k101
ITGA1	8k101
COL15A1	8k101
PXDN	8k101
RECK	8k101
KDR	8k101
ADAMTS1	8k101
FBLN5	8k101
CSGALNACT1	8k101
COL4A1	8k101
ADAM19	8k101
COL4A2	8k101
FOXF2	8k101
VCAM1	8k101
NID1	8k101
FBN2	8k101
MFAP4	8k101
CRISPLD2	8k101
HAS2	8k101
FOXF1	8k101
NRP1	8k101
CDH5	8k101
MSN	8k101
GJA1	8k101
HEY1	8k101
S1PR1	8k101
NR2F2	8k101
RHOB	8k101
PPM1F	8k101
ANGPT2	8k101
SGCE	8k101
ILK	8k101
DCHS1	8k101
FAT4	8k101
TCF21	8k101
WNT5A	8k101
KLF2	8k101
PTPRM	8k101
TNFAIP3	8k101
QKI	8k101
ACKR3	8k101
CEBPB	8k101
EFEMP1	8k101
NES	8k101
ACTB	8k101
MAP1B	8k101
FAM89B	8k101
IGFBP3	8k101
IGFBP4	8k101
GNA12	8k101
SYT11	8k101
TFPI	8k101
PLAT	8k101
ADGRL2	8k101
CH25H	8k101
VKORC1	8k101
RHOQ	8k101
MCAM	8k101
MN1	8k101
ADGRF5	8k101
LDB2	8k101
LDOC1	8k101
ASAP1	8k101
RBPMS	8k101
ZNF423	8k101
CD93	8k101
STX2	8k101
NR2F1	8k101
NDN	8k101
OAZ2	8k101
DENND5A	8k101
RCAN2	8k101
HMOX1	49k26
MILR1	49k26
VSIG4	49k26
RUNX3	49k26
LILRB4	49k26
MAP3K3	49k26
FGF2	49k26
FGF7	49k26
SLC7A7	49k26
CDO1	49k26
BHMT2	49k26
SDS	49k26
TYMP	49k26
PTGS1	49k26
IDS	49k26
PTX3	49k26
CSH2	4k101
SLC34A1	4k101
CSHL1	4k101
CSH1	4k101
GH2	4k101
GH1	4k101
HPX	4k101
SLC6A2	4k101
KCNE2	4k101
KCNJ4	4k101
SLC1A6	4k101
NOX5	4k101
NOS1	4k101
SLC5A2	4k101
SLC6A13	4k101
CPNE6	4k101
MAPT	4k101
GPR21	4k101
SYT2	4k101
PTPRT	4k101
INHA	4k101
EPB42	4k101
APBA1	4k101
SLC28A2	4k101
SLC28A1	4k101
SLC10A2	4k101
GRIK3	4k101
GRIN2A	4k101
KCNK4	4k101
CLCNKB	4k101
SLC66A1	4k101
SLC7A10	4k101
GABRR2	4k101
AQP6	4k101
ARTN	4k101
GFER	4k101
PGA4	4k101
PGA3	4k101
PIP	4k101
PGA5	4k101
P2RX6	4k101
CER1	4k101
WNT10B	4k101
MTHFR	4k101
MC2R	4k101
TACR1	4k101
MAS1	4k101
CCKBR	4k101
GRPR	4k101
DNAH6	4k101
DNAH3	4k101
TGM4	4k101
TIMP1	7k101
SPP1	7k101
COL7A1	7k101
FN1	7k101
COL6A1	7k101
HSPG2	7k101
COL5A3	7k101
ADAMTS2	7k101
COL3A1	7k101
